model_label,mean_final_steps,mean_final_reward
Hindsight bound,10.61388889,0.3983277306
Hindsight bound,10.61666667,0.3983454639
Hindsight bound,10.61944444,0.3983644
Hindsight bound,10.62222222,0.3983818444
Hindsight bound,10.625,0.3983973417
Hindsight bound,10.62777778,0.3984092917
Hindsight bound,10.63055556,0.3984257
Hindsight bound,10.63333333,0.3984446361
Hindsight bound,10.63611111,0.3984601333
Hindsight bound,10.63888889,0.3984740306
Hindsight bound,10.64166667,0.3984895278
Hindsight bound,10.64444444,0.3985039889
Hindsight bound,10.64722222,0.3985178861
Hindsight bound,10.65,0.3985439306
Hindsight bound,10.65277778,0.3985594278
Hindsight bound,10.65555556,0.3985701972
Hindsight bound,10.65833333,0.3985980444
Hindsight bound,10.66111111,0.3986135417
Hindsight bound,10.66388889,0.3986237972
Hindsight bound,10.66666667,0.3986419
Hindsight bound,10.66944444,0.3986608361
Hindsight bound,10.67222222,0.3986763333
Hindsight bound,10.675,0.3986902306
Hindsight bound,10.67777778,0.3987057278
Hindsight bound,10.68055556,0.3987201889
Hindsight bound,10.68333333,0.3987340861
Hindsight bound,10.68611111,0.3987530222
Hindsight bound,10.68888889,0.3987685194
Hindsight bound,10.69166667,0.3987815611
Hindsight bound,10.69444444,0.3987968778
Hindsight bound,10.69722222,0.398812375
Hindsight bound,10.7,0.3988254167
Hindsight bound,10.70277778,0.3988393139
Hindsight bound,10.70555556,0.39885825
Hindsight bound,10.70833333,0.3988737472
Hindsight bound,10.71111111,0.3988840028
Hindsight bound,10.71388889,0.3989021056
Hindsight bound,10.71666667,0.3989176028
Hindsight bound,10.71944444,0.3989278583
