model_label,mean_final_steps,mean_final_reward,policy,c_step,lambda_risk
Gaussian Head,9.455525606469003,0.47139304092134254,common_support_interpolation,0.01,0.3
Gaussian Head,9.471698113207546,0.4715768194070078,policy2,0.0005,1.0
Gaussian Head,9.501347708894878,0.4751707097933511,policy2,0.0002,1.0
Gaussian Head,9.517520215633423,0.4754627133872414,policy2,0.005,0.6
Gaussian Head,9.606469002695418,0.47618149146451,policy2,0.01,0.18
Gaussian Head,9.663072776280323,0.4778661275831085,policy2,-0.0001,1.0
Gaussian Head,9.703504043126685,0.4805615453728659,policy2,0.001,0.9
Gaussian Head,9.776280323450134,0.48168912848158113,policy2,0.01,0.15
Gaussian Head,9.800539083557952,0.4836433063791552,policy2,-0.0005,1.0
Gaussian Head,9.835579514824797,0.4848337825696315,policy2,0.0075,0.35
Gaussian Head,9.862533692722373,0.48499101527403393,policy2,0.005,0.5
Gaussian Head,9.881401617250674,0.4862039532794247,policy2,0.0005,0.9
Gaussian Head,9.89487870619946,0.48741689128481563,policy2,0.002,0.75
Gaussian Head,9.90566037735849,0.48755166217430346,policy2,0.0002,0.9
Gaussian Head,9.951482479784367,0.48889937106918213,policy2,0.0001,0.9
Gaussian Head,9.994609164420485,0.49164869721473475,policy2,0.01,0.02
Gaussian Head,10.05121293800539,0.49286163522012555,policy2,0.01,0.01
Gaussian Head,10.064690026954178,0.4936837376460015,policy2,0.001,0.75
Gaussian Head,10.080862533692722,0.49407457322551634,policy1,0.01,1.0
Gaussian Head,10.09433962264151,0.49495058400718744,policy2,0.005,0.4
Gaussian Head,10.256064690026955,0.4999056603773581,policy2,0.0075,0.15
Gaussian Head,10.277628032345014,0.5016486972147347,policy2,0.002,0.6
Gaussian Head,10.307277628032345,0.5025247079964058,policy2,0.0005,0.75
Gaussian Head,10.342318059299192,0.5026235399820304,policy2,-0.001,0.9
Gaussian Head,10.374663072776281,0.5054447439353097,policy2,0.0075,0.09
Gaussian Head,10.39622641509434,0.5066576819407006,policy2,0.005,0.3
Gaussian Head,10.415094339622641,0.5067250673854444,policy2,0.0075,0.07
Gaussian Head,10.479784366576819,0.5088814016172505,policy2,0.0002,0.75
Gaussian Head,10.601078167115903,0.5109029649595686,policy2,5e-05,0.75
Gaussian Head,10.628032345013477,0.5133288409703501,policy2,0.0,0.75
Gaussian Head,10.814016172506738,0.5140026954177895,policy2,-0.0001,0.75
Gaussian Head,11.102425876010782,0.5149910152740339,policy2,0.005,0.18
Gaussian Head,11.107816711590296,0.5191239892183286,policy2,-0.0005,0.75
Gaussian Head,11.126684636118599,0.5197753818508534,policy2,0.001,0.6
Gaussian Head,11.159029649595688,0.5211230907457319,policy2,0.002,0.5
Gaussian Head,11.33423180592992,0.5228526504941596,policy2,0.002,0.45
Gaussian Head,11.477088948787062,0.5230682839173402,policy2,0.005,0.12
Gaussian Head,11.566037735849056,0.5258176100628927,policy2,0.0005,0.6
Gaussian Head,11.838274932614555,0.5297323835194452,policy2,-0.001,0.75
Gaussian Head,12.070080862533693,0.5298158131176995,policy2,0.002,0.4
Gaussian Head,12.142857142857142,0.5306244384546268,policy2,0.0002,0.6
Gaussian Head,12.210242587601078,0.5311635220125782,policy2,0.001,0.5
Gaussian Head,12.288409703504042,0.5327422667180076,policy2,0.0001,0.6
Gaussian Head,12.339622641509434,0.5334161211654469,policy2,0.0,0.6
Gaussian Head,12.361185983827493,0.5340899756128863,policy2,-5e-05,0.6
Gaussian Head,12.595687331536388,0.536066615325375,policy2,0.001,0.45
Gaussian Head,12.681940700808624,0.5380881786676931,policy2,0.0005,0.5
Gaussian Head,12.862533692722373,0.538977666538313,policy2,0.002,0.3
Gaussian Head,12.973045822102426,0.5429848543190857,policy2,-0.0005,0.6
Gaussian Head,13.20754716981132,0.5432454113720955,policy2,0.001,0.4
Gaussian Head,13.285714285714286,0.5446829675266328,policy2,0.0005,0.45
Gaussian Head,13.35309973045822,0.546255294570658,policy2,0.0001,0.5
Gaussian Head,13.439353099730459,0.5476030034655367,policy2,5e-05,0.5
Gaussian Head,13.50943396226415,0.5481420870234882,policy2,0.0,0.5
Gaussian Head,13.533692722371967,0.5485913233217812,policy2,-5e-05,0.5
Gaussian Head,13.617250673854448,0.549489795918367,policy2,-0.0001,0.5
Gaussian Head,13.64690026954178,0.5528680528815296,policy2,-0.001,0.6
Gaussian Head,13.832884097035041,0.5542067770504425,policy2,0.0001,0.45
Gaussian Head,13.84366576819407,0.5557791040944676,policy2,5e-05,0.45
Gaussian Head,13.873315363881401,0.558474521884225,policy2,0.0,0.45
Gaussian Head,14.115902964959568,0.5593729944808108,policy2,-0.0005,0.5
Gaussian Head,14.315363881401618,0.5596874598896159,policy2,0.0005,0.35
Gaussian Head,14.398921832884097,0.5608105506353481,policy2,0.0001,0.4
Gaussian Head,14.54177897574124,0.5614844050827874,policy2,0.0,0.4
Gaussian Head,14.692722371967655,0.5631465793864712,policy2,0.001,0.25
Gaussian Head,14.776280323450134,0.5654184315235525,policy2,-0.0005,0.45
Gaussian Head,15.10512129380054,0.5661821332306504,policy2,5e-05,0.35
Gaussian Head,15.274932614555256,0.5673694005904245,policy2,0.001,0.2
Gaussian Head,15.30188679245283,0.5677544602746756,policy2,-5e-05,0.35
Gaussian Head,15.33423180592992,0.5680432550378638,policy2,0.001,0.18
Gaussian Head,15.433962264150944,0.5691021691695543,policy2,0.0002,0.3
Gaussian Head,15.63611859838275,0.571078808882043,policy2,0.001,0.15
Gaussian Head,15.943396226415095,0.5732351431138488,policy2,-0.0001,0.3
Gaussian Head,16.037735849056602,0.5737742266718003,policy2,0.0001,0.25
Gaussian Head,16.159029649595688,0.5744031574894104,policy2,0.0005,0.18
Gaussian Head,16.334231805929917,0.5752117828263377,policy2,-0.0001,0.25
Gaussian Head,16.49865229110512,0.5753016300859961,policy2,0.001,0.06
Gaussian Head,16.536388140161726,0.5758407136439476,policy2,0.0002,0.2
Gaussian Head,16.964959568733153,0.577278269798485,policy2,-0.0001,0.2
Gaussian Head,17.2722371967655,0.5776633294827359,policy2,-0.0001,0.18
Gaussian Head,17.73854447439353,0.5785618020793217,policy2,-5e-05,0.1
Gaussian Head,17.92452830188679,0.5788404295362405,common_support_interpolation,-5e-05,0.1
Feature ridge,9.455525606469003,0.46844699011680124,common_support_interpolation,0.015,1.0
Feature ridge,11.153638814016173,0.5130952380952378,policy1,0.01,1.0
Feature ridge,12.142857142857142,0.5253208830702089,policy1,0.0075,1.0
Feature ridge,13.719676549865229,0.5452669747144135,policy1,0.005,1.0
Feature ridge,15.45822102425876,0.5600917725580794,policy1,0.002,1.0
Feature ridge,16.67654986522911,0.5721569759979459,policy1,0.001,1.0
Feature ridge,16.82210242587601,0.5739539211911175,policy1,0.0005,1.0
Feature ridge,17.037735849056602,0.5753016300859962,policy1,0.0002,1.0
Feature ridge,17.12398921832884,0.5759754845334356,policy1,0.0001,1.0
Feature ridge,17.21024258760108,0.576514568091387,policy1,5e-05,1.0
Feature ridge,17.92452830188679,0.5781044097306903,common_support_interpolation,5e-05,1.0
Step ridge,9.455525606469003,0.46134083664912473,common_support_interpolation,0.03,1.0
Step ridge,13.280323450134771,0.5344551405467844,policy1,0.01,1.0
Step ridge,15.566037735849056,0.5606969580284941,policy1,0.0075,1.0
Step ridge,16.89487870619946,0.571325888846104,policy1,0.005,1.0
Step ridge,17.452830188679247,0.5745411372096003,policy1,0.002,1.0
Step ridge,17.835579514824797,0.5756866897702472,policy1,0.001,1.0
Step ridge,17.92452830188679,0.5768494190128877,common_support_interpolation,0.001,1.0
Reservation,9.455525606469003,0.46980105249647003,common_support_interpolation,0.015,0.25
Reservation,9.560646900269541,0.4727628032345011,policy2,-0.001,1.25
Reservation,9.630727762803234,0.47308625336927196,policy2,0.01,0.45
Reservation,9.746630727762803,0.47675202156334207,policy2,0.0075,0.6
Reservation,9.932614555256064,0.4768418688230007,policy2,0.015,0.06
Reservation,10.0,0.48306379155435736,policy2,0.015,0.04
Reservation,10.38544474393531,0.4965498652291102,policy2,0.01,0.4
Reservation,10.444743935309972,0.4966397124887687,policy2,0.01,0.35
Reservation,10.671159029649596,0.5007791040944677,policy2,-0.001,1.0
Reservation,10.69811320754717,0.5040206648697211,policy2,0.0075,0.45
Reservation,10.84366576819407,0.506176999101527,policy2,0.0075,0.35
Reservation,10.95687331536388,0.5077108201771272,policy2,-0.0001,0.9
Reservation,11.067385444743936,0.5081536388140159,policy2,0.0075,0.15
Reservation,11.107816711590296,0.509867154408933,policy2,0.002,0.6
Reservation,11.242587601078167,0.5134610447952762,policy2,-0.0005,0.9
