model_label,mean_final_steps,mean_final_reward,policy,c_step,lambda_risk
Support ZOIB,9.692307692307692,0.31309693131868144,policy2,0.001,0.75
Support ZOIB,9.722527472527473,0.3153219752747254,policy2,0.01,0.12
Support ZOIB,9.846153846153847,0.3177799697802199,policy2,0.01,0.09
Support ZOIB,10.008241758241759,0.31825627747252755,policy2,5e-05,0.75
Support ZOIB,10.131868131868131,0.31850262362637377,policy2,0.001,0.6
Support ZOIB,10.18956043956044,0.32116155494505516,policy2,0.002,0.5
Support ZOIB,10.304945054945055,0.32161478021978046,policy2,0.0005,0.6
Support ZOIB,10.351648351648352,0.3240416098901101,policy2,0.0002,0.6
Support ZOIB,10.398351648351648,0.3240989917582419,policy2,0.0,0.6
Support ZOIB,10.48076923076923,0.326675686813187,policy2,0.001,0.5
Support ZOIB,10.60989010989011,0.32945671703296725,policy2,0.002,0.4
Support ZOIB,10.67032967032967,0.3300695192307695,policy2,0.0005,0.5
Support ZOIB,10.744505494505495,0.3347994945054947,policy2,0.002,0.35
Support ZOIB,10.796703296703297,0.3351813241758244,policy2,0.0001,0.5
Support ZOIB,10.821428571428571,0.33518835439560457,policy2,5e-05,0.5
Support ZOIB,10.835164835164836,0.3352419972527475,policy2,0.0,0.5
Support ZOIB,11.076923076923077,0.3355311346153848,policy2,0.0002,0.45
Support ZOIB,11.18131868131868,0.33570667032967055,policy2,0.0001,0.45
Support ZOIB,11.252747252747254,0.3357971263736265,policy2,0.0,0.45
Support ZOIB,11.423076923076923,0.3375892115384618,policy2,0.005,0.05
Support ZOIB,11.527472527472527,0.33763258516483535,policy2,0.005,0.04
Support ZOIB,11.62087912087912,0.33880670329670354,policy2,0.0002,0.4
Support ZOIB,11.719780219780219,0.338936598901099,policy2,0.0001,0.4
Support ZOIB,11.887362637362637,0.3389911785714287,policy2,5e-05,0.4
Support ZOIB,11.92032967032967,0.33909518681318696,policy2,0.0,0.4
Support ZOIB,12.472527472527473,0.34178657692307707,policy2,0.0002,0.35
Support ZOIB,12.546703296703297,0.3419914917582419,policy2,0.0001,0.35
Support ZOIB,12.692307692307692,0.3470631675824177,policy2,5e-05,0.35
Support ZOIB,12.736263736263735,0.34721363186813203,policy2,0.0,0.35
Support ZOIB,13.247252747252746,0.3510412060439563,policy2,0.002,0.12
Support ZOIB,13.348901098901099,0.35620140109890125,policy2,0.002,0.1
Support ZOIB,13.43131868131868,0.35623265934065945,policy2,0.002,0.09
Support ZOIB,13.51923076923077,0.3588080192307693,policy2,0.002,0.08
Support ZOIB,13.708791208791208,0.3588235027472529,policy2,0.002,0.07
Support ZOIB,13.752747252747254,0.35950012912087925,policy2,0.001,0.18
Support ZOIB,13.906593406593407,0.36419723901098916,policy2,5e-05,0.3
Support ZOIB,14.074175824175825,0.36433627197802215,policy2,0.0,0.3
Support ZOIB,14.483516483516484,0.3672989532967035,policy2,0.0002,0.25
Support ZOIB,14.796703296703297,0.36974970054945067,policy2,0.0005,0.2
Support ZOIB,14.956043956043956,0.37066898901098905,policy2,0.0001,0.25
Support ZOIB,15.225274725274724,0.3738159120879122,policy2,5e-05,0.25
Support ZOIB,15.576923076923077,0.37422179395604405,policy2,0.0,0.25
Support ZOIB,15.807692307692308,0.37540934340659354,policy2,0.0005,0.15
Support ZOIB,16.024725274725274,0.37878830219780224,policy2,0.0002,0.2
Support ZOIB,16.406593406593405,0.38148432692307693,policy2,0.0001,0.2
Support ZOIB,16.744505494505493,0.381530728021978,policy2,5e-05,0.2
Support ZOIB,17.4010989010989,0.3841201291208791,policy2,0.0001,0.18
Support ZOIB,17.447802197802197,0.3841236236263737,policy2,0.0,0.2
Support ZOIB,17.854395604395606,0.38418057417582424,policy2,0.0002,0.15
Support ZOIB,18.013736263736263,0.38424746978021984,policy2,5e-05,0.18
Support ZOIB,18.782967032967033,0.38951860714285724,policy2,0.0,0.18
Support ZOIB,19.945054945054945,0.3895478846153847,policy2,5e-05,0.15
Support ZOIB,20.571428571428573,0.3895605631868133,policy2,0.0,0.15
Support ZOIB,21.815934065934066,0.3896241071428572,policy2,5e-05,0.12
Support ZOIB,23.03846153846154,0.39220978571428583,policy2,5e-05,0.1
Support ZOIB,23.854395604395606,0.39229059615384626,policy2,0.0001,0.08
Support ZOIB,24.233516483516482,0.3923284917582418,policy2,5e-05,0.09
Support ZOIB,24.532967032967033,0.3974816648351649,policy2,0.0,0.1
Support ZOIB,25.563186813186814,0.3974929752747254,policy2,0.0,0.09
Support ZOIB,26.906593406593405,0.3977731291208792,policy2,0.0,0.08
Support ZOIB,27.65934065934066,0.39799616483516487,policy2,5e-05,0.06
Support ZOIB,28.11263736263736,0.39802627197802204,policy2,0.0001,0.04
Support ZOIB,28.20054945054945,0.39811937912087914,policy2,0.0,0.07
Support ZOIB,28.67032967032967,0.3981494862637363,policy2,5e-05,0.05
Support ZOIB,31.60989010989011,0.39862468956043967,policy1,0.0,1.0
Scalar Head,8.79945054945055,0.28461333453085386,common_support_interpolation,0.0075,1.0
Scalar Head,8.821428571428571,0.2865106565934067,policy1,0.005,1.0
Scalar Head,11.648351648351648,0.3456765769230771,policy1,0.002,1.0
Scalar Head,13.31868131868132,0.3628277554945055,policy1,0.001,1.0
Scalar Head,15.782967032967033,0.37108161263736267,policy1,0.0005,1.0
Scalar Head,21.093406593406595,0.3796688873626373,policy1,0.0002,1.0
Scalar Head,30.13186813186813,0.3878805109890111,policy1,0.0001,1.0
Scalar Head,31.60989010989011,0.38925842948041245,common_support_interpolation,0.0001,1.0
Gaussian Head,8.79945054945055,0.28474047723704876,common_support_interpolation,0.02,1.0
Gaussian Head,8.804945054945055,0.28526566483516497,policy2,0.01,0.2
Gaussian Head,8.813186813186814,0.28589283791208797,policy2,0.01,0.18
Gaussian Head,8.81868131868132,0.2899871346153847,policy2,0.001,0.75
Gaussian Head,8.826923076923077,0.291259771978022,policy2,0.01,0.15
Gaussian Head,8.82967032967033,0.2933539752747253,policy2,0.0075,0.3
Gaussian Head,8.843406593406593,0.2934113571428572,policy2,0.01,0.09
